route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
D,1,D_1_outbound_1535,Outbound to Arlington,0,8,D_outbound
D,3,D_3_outbound_1535,Outbound to Arlington,0,8,D_outbound
D,5,D_5_outbound_1535,Outbound to Arlington,0,8,D_outbound
D,61,D_61_outbound_1535,Outbound to Arlington,0,8,D_outbound
D,62,D_62_outbound_1535,Outbound to Arlington,0,8,D_outbound
D,11,D_11_outbound_1535,Outbound to Arlington,0,8,D_outbound
D,13,D_13_outbound_1535,Outbound to Arlington,0,8,D_outbound
D,1,D_1_outbound_1610,Outbound to Arlington,0,7,D_outbound
D,3,D_3_outbound_1610,Outbound to Arlington,0,7,D_outbound
D,5,D_5_outbound_1610,Outbound to Arlington,0,7,D_outbound
D,61,D_61_outbound_1610,Outbound to Arlington,0,7,D_outbound
D,62,D_62_outbound_1610,Outbound to Arlington,0,7,D_outbound
D,11,D_11_outbound_1610,Outbound to Arlington,0,7,D_outbound
D,13,D_13_outbound_1610,Outbound to Arlington,0,7,D_outbound
D,1,D_1_outbound_1635,Outbound to Arlington,0,8,D_outbound
D,3,D_3_outbound_1635,Outbound to Arlington,0,8,D_outbound
D,5,D_5_outbound_1635,Outbound to Arlington,0,8,D_outbound
D,61,D_61_outbound_1635,Outbound to Arlington,0,8,D_outbound
D,62,D_62_outbound_1635,Outbound to Arlington,0,8,D_outbound
D,11,D_11_outbound_1635,Outbound to Arlington,0,8,D_outbound
D,13,D_13_outbound_1635,Outbound to Arlington,0,8,D_outbound
D,1,D_1_outbound_1710,Outbound to Arlington,0,7,D_outbound
D,3,D_3_outbound_1710,Outbound to Arlington,0,7,D_outbound
D,5,D_5_outbound_1710,Outbound to Arlington,0,7,D_outbound
D,61,D_61_outbound_1710,Outbound to Arlington,0,7,D_outbound
D,62,D_62_outbound_1710,Outbound to Arlington,0,7,D_outbound
D,11,D_11_outbound_1710,Outbound to Arlington,0,7,D_outbound
D,13,D_13_outbound_1710,Outbound to Arlington,0,7,D_outbound
D,1,D_1_outbound_1735,Outbound to Arlington,0,8,D_outbound
D,3,D_3_outbound_1735,Outbound to Arlington,0,8,D_outbound
D,5,D_5_outbound_1735,Outbound to Arlington,0,8,D_outbound
D,61,D_61_outbound_1735,Outbound to Arlington,0,8,D_outbound
D,62,D_62_outbound_1735,Outbound to Arlington,0,8,D_outbound
D,11,D_11_outbound_1735,Outbound to Arlington,0,8,D_outbound
D,13,D_13_outbound_1735,Outbound to Arlington,0,8,D_outbound
D,1,D_1_outbound_1810,Outbound to Arlington,0,7,D_outbound
D,3,D_3_outbound_1810,Outbound to Arlington,0,7,D_outbound
D,5,D_5_outbound_1810,Outbound to Arlington,0,7,D_outbound
D,61,D_61_outbound_1810,Outbound to Arlington,0,7,D_outbound
D,62,D_62_outbound_1810,Outbound to Arlington,0,7,D_outbound
D,11,D_11_outbound_1810,Outbound to Arlington,0,7,D_outbound
D,13,D_13_outbound_1810,Outbound to Arlington,0,7,D_outbound
D,1,D_1_outbound_1835,Outbound to Arlington,0,8,D_outbound
D,3,D_3_outbound_1835,Outbound to Arlington,0,8,D_outbound
D,5,D_5_outbound_1835,Outbound to Arlington,0,8,D_outbound
D,61,D_61_outbound_1835,Outbound to Arlington,0,8,D_outbound
D,62,D_62_outbound_1835,Outbound to Arlington,0,8,D_outbound
D,11,D_11_outbound_1835,Outbound to Arlington,0,8,D_outbound
D,13,D_13_outbound_1835,Outbound to Arlington,0,8,D_outbound
D,1,D_1_outbound_1910,Outbound to Arlington,0,7,D_outbound
D,3,D_3_outbound_1910,Outbound to Arlington,0,7,D_outbound
D,5,D_5_outbound_1910,Outbound to Arlington,0,7,D_outbound
D,61,D_61_outbound_1910,Outbound to Arlington,0,7,D_outbound
D,62,D_62_outbound_1910,Outbound to Arlington,0,7,D_outbound
D,11,D_11_outbound_1910,Outbound to Arlington,0,7,D_outbound
D,13,D_13_outbound_1910,Outbound to Arlington,0,7,D_outbound
D,1,D_1_outbound_1935,Outbound to Arlington,0,8,D_outbound
D,3,D_3_outbound_1935,Outbound to Arlington,0,8,D_outbound
D,5,D_5_outbound_1935,Outbound to Arlington,0,8,D_outbound
D,61,D_61_outbound_1935,Outbound to Arlington,0,8,D_outbound
D,62,D_62_outbound_1935,Outbound to Arlington,0,8,D_outbound
D,11,D_11_outbound_1935,Outbound to Arlington,0,8,D_outbound
D,13,D_13_outbound_1935,Outbound to Arlington,0,8,D_outbound
D,1,D_1_outbound_2010,Outbound to Arlington,0,7,D_outbound
D,3,D_3_outbound_2010,Outbound to Arlington,0,7,D_outbound
D,5,D_5_outbound_2010,Outbound to Arlington,0,7,D_outbound
D,61,D_61_outbound_2010,Outbound to Arlington,0,7,D_outbound
D,62,D_62_outbound_2010,Outbound to Arlington,0,7,D_outbound
D,11,D_11_outbound_2010,Outbound to Arlington,0,7,D_outbound
D,13,D_13_outbound_2010,Outbound to Arlington,0,7,D_outbound
D,1,D_1_outbound_2110,Outbound to Arlington,0,7,D_outbound
D,3,D_3_outbound_2110,Outbound to Arlington,0,7,D_outbound
D,11,D_11_outbound_2110,Outbound to Arlington,0,7,D_outbound
D,13,D_13_outbound_2110,Outbound to Arlington,0,7,D_outbound
D,1,D_1_outbound_2210,Outbound to Arlington,0,7,D_outbound
D,3,D_3_outbound_2210,Outbound to Arlington,0,7,D_outbound
D,11,D_11_outbound_2210,Outbound to Arlington,0,7,D_outbound
D,13,D_13_outbound_2210,Outbound to Arlington,0,7,D_outbound
D,11,D_11_outbound_2310,Outbound to Arlington,0,7,D_outbound
D,13,D_13_outbound_2310,Outbound to Arlington,0,7,D_outbound
D,1,D_1_inbound_0720,Inbound to UCD Silo,1,7,D_inbound
D,3,D_3_inbound_0720,Inbound to UCD Silo,1,7,D_inbound
D,5,D_5_inbound_0720,Inbound to UCD Silo,1,7,D_inbound
D,61,D_61_inbound_0720,Inbound to UCD Silo,1,7,D_inbound
D,62,D_62_inbound_0720,Inbound to UCD Silo,1,7,D_inbound
D,11,D_11_inbound_0720,Inbound to UCD Silo,1,7,D_inbound
D,13,D_13_inbound_0720,Inbound to UCD Silo,1,7,D_inbound
D,1,D_1_inbound_0745,Inbound to UCD Silo,1,8,D_inbound
D,3,D_3_inbound_0745,Inbound to UCD Silo,1,8,D_inbound
D,5,D_5_inbound_0745,Inbound to UCD Silo,1,8,D_inbound
D,61,D_61_inbound_0745,Inbound to UCD Silo,1,8,D_inbound
D,62,D_62_inbound_0745,Inbound to UCD Silo,1,8,D_inbound
D,11,D_11_inbound_0745,Inbound to UCD Silo,1,8,D_inbound
D,13,D_13_inbound_0745,Inbound to UCD Silo,1,8,D_inbound
D,1,D_1_inbound_0820,Inbound to UCD Silo,1,7,D_inbound
D,3,D_3_inbound_0820,Inbound to UCD Silo,1,7,D_inbound
D,5,D_5_inbound_0820,Inbound to UCD Silo,1,7,D_inbound
D,61,D_61_inbound_0820,Inbound to UCD Silo,1,7,D_inbound
D,62,D_62_inbound_0820,Inbound to UCD Silo,1,7,D_inbound
D,11,D_11_inbound_0820,Inbound to UCD Silo,1,7,D_inbound
D,13,D_13_inbound_0820,Inbound to UCD Silo,1,7,D_inbound
D,1,D_1_inbound_0845,Inbound to UCD Silo,1,8,D_inbound
D,3,D_3_inbound_0845,Inbound to UCD Silo,1,8,D_inbound
D,5,D_5_inbound_0845,Inbound to UCD Silo,1,8,D_inbound
D,61,D_61_inbound_0845,Inbound to UCD Silo,1,8,D_inbound
D,62,D_62_inbound_0845,Inbound to UCD Silo,1,8,D_inbound
D,11,D_11_inbound_0845,Inbound to UCD Silo,1,8,D_inbound
D,13,D_13_inbound_0845,Inbound to UCD Silo,1,8,D_inbound
D,1,D_1_inbound_0925,Inbound to UCD Silo,1,7,D_inbound
D,3,D_3_inbound_0925,Inbound to UCD Silo,1,7,D_inbound
D,5,D_5_inbound_0925,Inbound to UCD Silo,1,7,D_inbound
D,61,D_61_inbound_0925,Inbound to UCD Silo,1,7,D_inbound
D,62,D_62_inbound_0925,Inbound to UCD Silo,1,7,D_inbound
D,11,D_11_inbound_0925,Inbound to UCD Silo,1,7,D_inbound
D,13,D_13_inbound_0925,Inbound to UCD Silo,1,7,D_inbound
D,1,D_1_inbound_0950,Inbound to UCD Silo,1,8,D_inbound
D,3,D_3_inbound_0950,Inbound to UCD Silo,1,8,D_inbound
D,5,D_5_inbound_0950,Inbound to UCD Silo,1,8,D_inbound
D,61,D_61_inbound_0950,Inbound to UCD Silo,1,8,D_inbound
D,62,D_62_inbound_0950,Inbound to UCD Silo,1,8,D_inbound
D,11,D_11_inbound_0950,Inbound to UCD Silo,1,8,D_inbound
D,13,D_13_inbound_0950,Inbound to UCD Silo,1,8,D_inbound
D,1,D_1_inbound_1025,Inbound to UCD Silo,1,7,D_inbound
D,3,D_3_inbound_1025,Inbound to UCD Silo,1,7,D_inbound
D,5,D_5_inbound_1025,Inbound to UCD Silo,1,7,D_inbound
D,61,D_61_inbound_1025,Inbound to UCD Silo,1,7,D_inbound
D,62,D_62_inbound_1025,Inbound to UCD Silo,1,7,D_inbound
D,11,D_11_inbound_1025,Inbound to UCD Silo,1,7,D_inbound
D,13,D_13_inbound_1025,Inbound to UCD Silo,1,7,D_inbound
D,1,D_1_inbound_1050,Inbound to UCD Silo,1,8,D_inbound
D,3,D_3_inbound_1050,Inbound to UCD Silo,1,8,D_inbound
D,5,D_5_inbound_1050,Inbound to UCD Silo,1,8,D_inbound
D,61,D_61_inbound_1050,Inbound to UCD Silo,1,8,D_inbound
D,62,D_62_inbound_1050,Inbound to UCD Silo,1,8,D_inbound
D,11,D_11_inbound_1050,Inbound to UCD Silo,1,8,D_inbound
D,13,D_13_inbound_1050,Inbound to UCD Silo,1,8,D_inbound
D,1,D_1_inbound_1125,Inbound to UCD Silo,1,7,D_inbound
D,3,D_3_inbound_1125,Inbound to UCD Silo,1,7,D_inbound
D,5,D_5_inbound_1125,Inbound to UCD Silo,1,7,D_inbound
D,61,D_61_inbound_1125,Inbound to UCD Silo,1,7,D_inbound
D,62,D_62_inbound_1125,Inbound to UCD Silo,1,7,D_inbound
D,11,D_11_inbound_1125,Inbound to UCD Silo,1,7,D_inbound
D,13,D_13_inbound_1125,Inbound to UCD Silo,1,7,D_inbound
D,1,D_1_inbound_1150,Inbound to UCD Silo,1,8,D_inbound
D,3,D_3_inbound_1150,Inbound to UCD Silo,1,8,D_inbound
D,5,D_5_inbound_1150,Inbound to UCD Silo,1,8,D_inbound
D,61,D_61_inbound_1150,Inbound to UCD Silo,1,8,D_inbound
D,62,D_62_inbound_1150,Inbound to UCD Silo,1,8,D_inbound
D,11,D_11_inbound_1150,Inbound to UCD Silo,1,8,D_inbound
D,13,D_13_inbound_1150,Inbound to UCD Silo,1,8,D_inbound
D,1,D_1_inbound_1235,Inbound to UCD Silo,1,7,D_inbound
D,3,D_3_inbound_1235,Inbound to UCD Silo,1,7,D_inbound
D,5,D_5_inbound_1235,Inbound to UCD Silo,1,7,D_inbound
D,61,D_61_inbound_1235,Inbound to UCD Silo,1,7,D_inbound
D,62,D_62_inbound_1235,Inbound to UCD Silo,1,7,D_inbound
